Nome OMS,Nome Chinês,Localização,Nível Energético,Meridiano Regular,Canal Maravilhoso,Função CM,Particularidade
BL58,Fei Yang,"7 cun acima do maléolo lateral, na borda lateral da fíbula",Tai Yang,Bexiga,Não,N/A,Trata problemas da perna
BL59,Fu Yang,"3 cun acima do maléolo lateral, na borda lateral da fíbula",Tai Yang,Bexiga,Não,N/A,Trata problemas da perna
BL60,Kun Lun,Na depressão entre o maléolo lateral e o tendão de Aquiles,Tai Yang,Bexiga,Não,N/A,Ponto rio e metal
BL61,Pu Can,"Na borda lateral do pé, 1 cun abaixo do maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL62,Shen Mai,"Na borda lateral do pé, 0,5 cun abaixo do maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL63,Jin Men,"Na borda lateral do pé, 0,5 cun acima do maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL64,Jing Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL65,Shu Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL66,Zu Tong Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Tai Yang,Bexiga,Não,N/A,Trata problemas do pé
BL67,Zhi Yin,"No lado lateral do dedo mínimo do pé, 0,1 cun proximal ao ângulo ungueal",Tai Yang,Bexiga,Não,N/A,Ponto poço
KI1,Yong Quan,"Na planta do pé, no terço anterior, na depressão formada quando os dedos são flexionados",Shao Yin,Rim,Não,N/A,Ponto poço e madeira
KI2,Ran Gu,"Na planta do pé, no terço médio, na depressão entre o segundo e terceiro metatarsos",Shao Yin,Rim,Não,N/A,Ponto riacho
KI3,Tai Xi,"Na região medial do tornozelo, na depressão entre o maléolo medial e o tendão de Aquiles",Shao Yin,Rim,Não,N/A,Ponto fonte e terra
KI4,Da Zhong,"Na região medial do tornozelo, 1 cun abaixo de KI3",Shao Yin,Rim,Não,N/A,Ponto rio
KI5,Shui Quan,"Na região medial do tornozelo, 1 cun abaixo de KI4",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI6,Zhao Hai,"Na região medial do tornozelo, 1 cun abaixo do maléolo medial",Shao Yin,Rim,Não,N/A,Ponto mar
KI7,Fu Liu,"Na região medial da perna, 2 cun acima do maléolo medial",Shao Yin,Rim,Não,N/A,Ponto rio
KI8,Jiao Xin,"Na região medial da perna, 2 cun acima de KI7",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI9,Zhu Bin,"Na região medial da perna, 5 cun acima do maléolo medial",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI10,Yin Gu,"Na região medial da coxa, 3 cun acima da borda medial da patela",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI11,Heng Gu,"Na região inguinal, 5 cun lateral ao púbis",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI12,Da He,"Na região inguinal, 4 cun lateral ao púbis",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI13,Qi Xue,"Na região inguinal, 3 cun lateral ao púbis",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI14,Si Man,"Na região inguinal, 2 cun lateral ao púbis",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI15,Zhong Zhu,"Na região inguinal, 1 cun lateral ao púbis",Shao Yin,Rim,Não,N/A,Trata problemas urogenitais
KI16,Huang Shu,"Na região abdominal, 0,5 cun lateral ao umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI17,Shang Qu,"Na região abdominal, 1 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI18,Shi Guan,"Na região abdominal, 2 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI19,Yin Du,"Na região abdominal, 3 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI20,Fu Tong Gu,"Na região abdominal, 4 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI21,You Men,"Na região abdominal, 5 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI22,Bu Lang,"Na região abdominal, 6 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI23,Shen Feng,"Na região abdominal, 7 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI24,Ling Xu,"Na região abdominal, 8 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI25,Shen Cang,"Na região abdominal, 9 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI26,Yu Zhong,"Na região abdominal, 10 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
KI27,Shu Fu,"Na região abdominal, 11 cun acima do umbigo",Shao Yin,Rim,Não,N/A,Trata problemas abdominais
PC1,Tian Chi,"No quarto espaço intercostal, 1 cun lateral ao mamilo",Jue Yin,Pericárdio,Não,N/A,Ponto Mu do Pericárdio
PC2,Tian Quan,"No terceiro espaço intercostal, 2 cun lateral ao mamilo",Jue Yin,Pericárdio,Não,N/A,Trata problemas torácicos
PC3,Qu Ze,"Na fossa cubital, no lado ulnar do tendão do bíceps braquial",Jue Yin,Pericárdio,Não,N/A,Ponto água e ponto sedação
PC4,Xi Men,"Na região anterior do antebraço, 5 cun acima do punho, entre os tendões do músculo palmar longo e flexor radial do carpo",Jue Yin,Pericárdio,Não,N/A,Ponto Xi
PC5,Jian Shi,"Na região anterior do antebraço, 3 cun acima do punho, entre os tendões do músculo palmar longo e flexor radial do carpo",Jue Yin,Pericárdio,Não,N/A,Ponto rio
PC6,Nei Guan,"Na região anterior do antebraço, 2 cun acima do punho, entre os tendões do músculo palmar longo e flexor radial do carpo",Jue Yin,Pericárdio,Não,N/A,Ponto Luo
PC7,Da Ling,"Na região anterior do punho, na dobra do punho, entre os tendões do músculo palmar longo e flexor radial do carpo",Jue Yin,Pericárdio,Não,N/A,Ponto fonte e terra
PC8,Laogong,"Na palma da mão, entre o segundo e terceiro metacarpo",Jue Yin,Pericárdio,Não,N/A,Ponto fogo
PC9,Zhong Chong,"No lado ulnar da falange distal do dedo médio, 0,1 cun proximal ao ângulo ungueal",Jue Yin,Pericárdio,Não,N/A,Ponto poço
TE1,Guan Chong,"No lado ulnar da falange distal do dedo anular, 0,1 cun proximal ao ângulo ungueal",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto poço
TE2,Ye Men,"No lado ulnar da falange proximal do dedo anular, distal à articulação metacarpofalangeana",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto riacho
TE3,Zhong Zhu,"No lado ulnar do quarto metacarpo, proximal à cabeça do metacarpo",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto rio
TE4,Yang Chi,"No dorso do punho, na depressão entre o quarto e quinto metacarpo",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto fonte
TE5,Wai Guan,"Na região dorsal do antebraço, 2 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto Luo
TE6,Zhi Gou,"Na região dorsal do antebraço, 3 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE7,Hui Zong,"Na região dorsal do antebraço, 4 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE8,San Yang Luo,"Na região dorsal do antebraço, 5 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE9,Si Du,"Na região dorsal do antebraço, 6 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE10,Tian Jing,"Na região dorsal do antebraço, 7 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Ponto mar
TE11,Qing Leng Yuan,"Na região dorsal do antebraço, 8 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE12,Xiao Luo,"Na região dorsal do antebraço, 9 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE13,Nao Hui,"Na região dorsal do antebraço, 10 cun acima do punho, entre os tendões do músculo extensor ulnar do carpo e extensor radial do carpo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE14,Jian Liao,"Na região do ombro, posterior e inferior ao acrômio",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE15,Tian Liao,"Na região do ombro, posterior e inferior ao acrômio",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do ombro
TE16,Tian You,"Na região do pescoço, posterior ao músculo esternocleidomastóideo",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas do pescoço
TE17,Yi Feng,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE18,Chi Mai,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE19,Lu Xi,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE20,Jiao Sun,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE21,Er Men,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE22,He Liao,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
TE23,Si Zhu Kong,"Na região do pescoço, posterior ao ângulo da mandíbula",Shao Yang,Triplo Aquecedor,Não,N/A,Trata problemas de audição
GB1,Tong Zi Liao,"No canto externo do olho, na depressão acima do canto externo do olho",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas oculares
GB2,Ting Hui,"Anterior ao trago, na depressão formada quando a boca está aberta",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas auditivos
GB3,Shang Guan,"Abaixo do arco zigomático, na depressão anterior ao côndilo da mandíbula",Shao Yang,Vesícula Biliar,Não,N/A,Trata dor facial
GB4,Han Yan,"No lado lateral da cabeça, 0,5 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB5,Xuan Lu,"No lado lateral da cabeça, 1 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB6,Xuan Li,"No lado lateral da cabeça, 1,5 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB7,Qu Bin,"No lado lateral da cabeça, 2 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB8,Shuai Gu,"No lado lateral da cabeça, 3 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB9,Tian Chong,"No lado lateral da cabeça, 4 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB10,Fu Bai,"No lado lateral da cabeça, 5 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB11,Tou Qiao Yin,"No lado lateral da cabeça, 6 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB12,Wan Gu,"No lado lateral da cabeça, 7 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB13,Ben Shen,"No lado lateral da cabeça, 8 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB14,Yang Bai,"No lado lateral da cabeça, 9 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB15,Tou Lin Qi,"No lado lateral da cabeça, 10 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB16,Mu Chuang,"No lado lateral da cabeça, 11 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB17,Zheng Ying,"No lado lateral da cabeça, 12 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB18,Cheng Ling,"No lado lateral da cabeça, 13 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB19,Na Shu,"No lado lateral da cabeça, 14 cun acima da linha do cabelo",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia
GB20,Feng Chi,"Na região posterior do pescoço, na depressão entre os músculos esternocleidomastóideo e trapézio",Shao Yang,Vesícula Biliar,Não,N/A,Trata cefaleia e rigidez do pescoço
GB21,Jian Jing,"Na região do ombro, no ponto médio entre o acrômio e a sétima vértebra cervical",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do ombro
GB22,Yuan Ye,"Na região do ombro, 1 cun abaixo de GB21",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do ombro
GB23,Zhe Jin,"Na região do ombro, 2 cun abaixo de GB21",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do ombro
GB24,Ri Yue,"Na região do tórax, no sétimo espaço intercostal, 4 cun lateral ao mamilo",Shao Yang,Vesícula Biliar,Não,N/A,Ponto Mu da Vesícula Biliar
GB25,Jing Men,"Na região do tórax, no oitavo espaço intercostal, 4 cun lateral ao mamilo",Shao Yang,Vesícula Biliar,Não,N/A,Ponto Mu do Fígado
GB26,Dai Mai,"Na região do abdômen, 1 cun abaixo do umbigo, 4 cun lateral à linha média",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas abdominais
GB27,Wu Shu,"Na região do abdômen, 2 cun abaixo do umbigo, 4 cun lateral à linha média",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas abdominais
GB28,Wei Dao,"Na região do abdômen, 3 cun abaixo do umbigo, 4 cun lateral à linha média",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas abdominais
GB29,Ju Liao,"Na região do abdômen, 4 cun abaixo do umbigo, 4 cun lateral à linha média",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas abdominais
GB30,Huan Tiao,"Na região glútea, no ponto médio entre o trocanter maior e a espinha ilíaca posterior superior",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da coxa
GB31,Feng Shi,"Na região lateral da coxa, 7 cun acima da borda lateral da patela",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da coxa
GB32,Zhong Du,"Na região lateral da coxa, 9 cun acima da borda lateral da patela",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da coxa
GB33,Xi Yang Guan,"Na região lateral da coxa, 11 cun acima da borda lateral da patela",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da coxa
GB34,Yang Ling Quan,"Na região lateral do joelho, na depressão anterior ao côndilo lateral da tíbia",Shao Yang,Vesícula Biliar,Não,N/A,Ponto mar
GB35,Yang Jiao,"Na região lateral da perna, 7 cun acima do maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da perna
GB36,Wai Qiu,"Na região lateral da perna, 5 cun acima do maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da perna
GB37,Guang Ming,"Na região lateral da perna, 4 cun acima do maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da perna
GB38,Yang Fu,"Na região lateral da perna, 3 cun acima do maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da perna
GB39,Xuan Zhong,"Na região lateral da perna, 2 cun acima do maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas da perna
GB40,Qiu Xu,"Na região lateral do tornozelo, na depressão anterior ao maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do tornozelo
GB41,Zu Lin Qi,"Na região lateral do pé, na depressão distal ao maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do pé
GB42,Di Wu Hui,"Na região lateral do pé, na depressão distal ao maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do pé
GB43,Xia Xi,"Na região lateral do pé, na depressão distal ao maléolo lateral",Shao Yang,Vesícula Biliar,Não,N/A,Trata problemas do pé
GB44,Zu Qiao Yin,"No lado lateral do dedo mínimo do pé, 0,1 cun proximal ao ângulo ungueal",Shao Yang,Vesícula Biliar,Não,N/A,Ponto poço
LR1,Da Dun,"No lado medial do hálux, 0,1 cun proximal ao ângulo ungueal",Jue Yin,Fígado,Não,N/A,Ponto poço e madeira
LR2,Xing Jian,"No lado medial do hálux, distal à articulação metatarsofalangeana",Jue Yin,Fígado,Não,N/A,Ponto riacho
LR3,Tai Chong,"No lado medial do pé, na articulação metatarsofalangeana do hálux",Jue Yin,Fígado,Não,N/A,Ponto fonte e terra
LR4,Zhong Feng,"Na borda medial do pé, em uma depressão distal à base do primeiro metatarso",Jue Yin,Fígado,Não,N/A,Ponto rio
LR5,Li Gou,"Na região medial da perna, 5 cun acima do maléolo medial",Jue Yin,Fígado,Não,N/A,Ponto Luo
LR6,Zhong Du,"Na região medial da perna, 7 cun acima do maléolo medial",Jue Yin,Fígado,Não,N/A,Trata problemas urogenitais
LR7,Xi Guan,"Na região medial da perna, 9 cun acima do maléolo medial",Jue Yin,Fígado,Não,N/A,Trata problemas da perna
LR8,Qu Quan,"Na região medial do joelho, na depressão entre o côndilo medial da tíbia e o tendão do músculo semitendinoso",Jue Yin,Fígado,Não,N/A,Ponto mar
LR9,Yin Bao,"Na região medial da coxa, 3 cun acima da borda medial da patela",Jue Yin,Fígado,Não,N/A,Trata problemas da coxa
LR10,Zu Wu Li,"Na região medial da coxa, 5 cun acima da borda medial da patela",Jue Yin,Fígado,Não,N/A,Trata problemas da coxa
LR11,Yin Lian,"Na região medial da coxa, 7 cun acima da borda medial da patela",Jue Yin,Fígado,Não,N/A,Trata problemas da coxa
LR12,Ji Mai,"Na região inguinal, 1 cun lateral ao púbis",Jue Yin,Fígado,Não,N/A,Trata problemas urogenitais
LR13,Zhang Men,"Na região abdominal, 1 cun lateral ao umbigo",Jue Yin,Fígado,Não,N/A,Ponto Mu do Baço
LR14,Qi Men,"Na região abdominal, 2 cun lateral ao umbigo",Jue Yin,Fígado,Não,N/A,Ponto Mu do Fígado
DU1,Chang Qiang,"Na região perineal, no ponto médio entre o ânus e o cóccix",Não,Não,Du Mai,Não,N/A,Ponto de partida do Du Mai
DU2,Yao Shu,"Na região sacral, no ponto médio entre o cóccix e o ânus",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU3,Yao Yang Guan,"Na região lombar, no nível do processo espinhoso da quarta vértebra lombar",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU4,Ming Men,"Na região lombar, no nível do processo espinhoso da segunda vértebra lombar",Não,Não,Du Mai,Não,N/A,Fortalece os rins
DU5,Xuán Shu,"Na região lombar, no nível do processo espinhoso da primeira vértebra lombar",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU6,Ji Zhong,"Na região torácica, no nível do processo espinhoso da décima primeira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU7,Zhong Shu,"Na região torácica, no nível do processo espinhoso da décima vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU8,Jin Suo,"Na região torácica, no nível do processo espinhoso da nona vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU9,Zhi Yang,"Na região torácica, no nível do processo espinhoso da sétima vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU10,Ling Tai,"Na região torácica, no nível do processo espinhoso da sexta vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU11,Shendao,"Na região torácica, no nível do processo espinhoso da quinta vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU12,Shen Zhu,"Na região torácica, no nível do processo espinhoso da terceira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU13,Tao Dao,"Na região torácica, no nível do processo espinhoso da primeira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU14,Dazhui,"Na região cervical, no nível do processo espinhoso da sétima vértebra cervical",Não,Não,Du Mai,Não,N/A,Ponto de encontro com os meridianos Yang
DU15,Ya Men,"Na região cervical, no nível do processo espinhoso da primeira vértebra cervical",Não,Não,Du Mai,Não,N/A,Trata problemas cervicais
DU16,Feng Fu,"Na região cervical, na depressão abaixo do osso occipital",Não,Não,Du Mai,Não,N/A,Trata cefaleia e rigidez do pescoço
DU17,Nao Hu,"Na região cervical, 1,5 cun acima de DU16",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU18,Qiang Jian,"Na região cervical, 1,5 cun acima de DU17",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU19,Hou Ding,"Na região cervical, 1,5 cun acima de DU18",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU20,Bai Hui,"No topo da cabeça, no ponto médio entre as orelhas",Não,Não,Du Mai,Não,N/A,Ponto de encontro com todos os meridianos Yang
DU21,Qian Ding,"Na região frontal, 1,5 cun acima de DU20",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU22,Xin Hui,"Na região frontal, 1,5 cun acima de DU21",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU23,Shang Xing,"Na região frontal, 1,5 cun acima de DU22",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU24,Shenting,"Na região frontal, 1,5 cun acima de DU23",Não,Não,Du Mai,Não,N/A,Trata cefaleia e problemas mentais
REN1,Hui Yin,"Na região perineal, no ponto médio entre o ânus e os genitais",Não,Não,Ren Mai,Não,N/A,Ponto de partida do Ren Mai
REN2,Qu Gu,"Na região púbica, 1 cun acima do púbis",Não,Não,Ren Mai,Não,N/A,Trata problemas urogenitais
REN3,Zhong Ji,"Na região abdominal, 4 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu da Bexiga
REN4,Guanyuan,"Na região abdominal, 3 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Fortalece o Qi e o Sangue
REN5,Shimen,"Na região abdominal, 2 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Intestino Delgado
REN6,Qihai,"Na região abdominal, 1,5 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Fortalece o Qi
REN7,Yinjiao,"Na região abdominal, 1 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN8,Shenque,"No umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN9,Shuifen,"Na região abdominal, 1 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN10,Xiawan,"Na região abdominal, 2 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN11,Jianli,"Na região abdominal, 3 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN12,Zhongwan,"Na região abdominal, 4 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Estômago
REN13,Shangwan,"Na região abdominal, 5 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN14,Juque,"Na região abdominal, 6 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Coração
REN15,Jiuwei,"Na região torácica, 1 cun abaixo do esterno",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN16,Zhongting,"Na região torácica, no nível do quinto espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN17,Shanzhong,"Na região torácica, no nível do quarto espaço intercostal",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Pericárdio
REN18,Yutang,"Na região torácica, no nível do terceiro espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN19,Zigong,"Na região torácica, no nível do segundo espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN20,Huagai,"Na região torácica, no nível do primeiro espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN21,Xuanji,"Na região torácica, no nível da fúrcula esternal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN22,Tiantu,"Na região cervical, na depressão acima do esterno",Não,Não,Ren Mai,Não,N/A,Trata problemas respiratórios
REN23,Lianquan,"Na região cervical, na depressão acima do osso hióide",Não,Não,Ren Mai,Não,N/A,Trata problemas na garganta
REN24,Chengjiang,"No centro do queixo",Não,Não,Ren Mai,Não,N/A,Trata problemas faciais
EX-HN1,Yin Tang,No ponto médio entre as sobrancelhas,Não,Não,Não,N/A,Trata cefaleia e insônia
EX-HN2,Tai Yang,"Na região temporal, na depressão entre o olho e a sobrancelha",Não,Não,Não,N/A,Trata cefaleia e problemas oculares
EX-HN3,Yu Yao,No ponto médio da sobrancelha,Não,Não,Não,N/A,Trata problemas oculares
EX-HN4,Si Shen Cong,Quatro pontos ao redor do ponto DU20 (Bai Hui),Não,Não,Não,N/A,Trata cefaleia e insônia
EX-HN5,Jiu Wei,"Na região abdominal, 1 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN6,Qi Xue,"Na região abdominal, 2 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN7,Ge Shu,"Na região abdominal, 3 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN8,Hua Tuo Jia Ji,"Paralelo à coluna vertebral, 0,5 cun lateral a cada lado",Não,Não,Não,N/A,Trata problemas da coluna
EX-LE1,Heding,No centro da patela,Não,Não,Não,N/A,Trata problemas do joelho
EX-LE2,Xi Yan,Na depressão lateral ao tendão patelar,Não,Não,Não,N/A,Trata problemas do joelho
EX-LE3,Lan Wei,"Na região abdominal, 2 cun abaixo do umbigo, 2 cun lateral à linha média",Não,Não,Não,N/A,Trata apendicite
EX-LE4,Dan Nang,"Na região abdominal, 2 cun abaixo do umbigo, 4 cun lateral à linha média",Não,Não,Não,N/A,Trata problemas da vesícula biliar
EX-LE5,Nei Ting,Entre o segundo e terceiro metatarsos,Não,Não,Não,N/A,Trata problemas do pé
EX-LE6,Yong Quan,"Na planta do pé, no terço anterior",Não,Não,Não,N/A,Trata problemas do pé
EX-UE1,Shi Xuan,Nas pontas dos dez dedos das mãos,Não,Não,Não,N/A,Trata emergências médicas
EX-UE2,Ba Xie,Entre os dedos das mãos,Não,Não,Não,N/A,Trata problemas das mãos
EX-UE3,Si Feng,Nas articulações interfalângicas dos dedos,Não,Não,Não,N/A,Trata problemas das mãos
EX-UE4,Lao Gong,"Na palma da mão, entre o segundo e terceiro metacarpo",Não,Não,Não,N/A,Trata problemas das mãos
EX-UE5,Da Zhui,"Na região cervical, abaixo da sétima vértebra cervical",Não,Não,Não,N/A,Trata problemas do pescoço
EX-UE6,Jian Jing,"Na região do ombro, no ponto médio entre o acrômio e a sétima vértebra cervical",Não,Não,Não,N/A,Trata problemas do ombro
